,ER,AR,PgR,HER2,Ecad,Ki67,CCND1,pHH3,PCNA,pRB,PDPN,EGFR,AR+ER,EGFR+Ki67,CAV1,CD44,RAD51,BCL2
HR+,1,1,1,,,,,,,,,,,,,,,
HER2+,,,,1,,,,,,,,,,,,,,
Ecad+,,,,,1,,,,,,,,,,,,,
Proliferating,,,,,,1,1,1,1,1,1,,,,,,,
Ki67+,,,,,,1,,,,,,,,,,,,
CCND1+,,,,,,,1,,,,,,,,,,,
pHH3+,,,,,,,,1,,,,,,,,,,
PCNA+,,,,,,,,,1,,,,,,,,,
pRB+,,,,,,,,,,1,,,,,,,,
PDPN+,,,,,,,,,,,1,,,,,,,
EGFR+,,,,,,,,,,,,1,,,,,,
AR+ER,1,1,,,,,,,,,,,1,,,,,
EGFR+Ki67,,,,,,1,,,,,,1,,1,,,,
ER+,1,,,,,,,,,,,,,,,,,
AR+ ,,1,,,,,,,,,,,,,,,,
ESR1 Topic,1,1,,1,,,1,,,,,,,,,,,1
FOXM1 Topic,,,,,,1,,,1,,,1,,,1,1,1,
